"${ Servidor } : /v5/page/view-1,401",2,145,137,153,153,153,137,153,0.000%,.01627,0.01,0.03
"${ Servidor } : /api/config.json-1,397",2,275,248,302,302,302,248,302,0.000%,.01625,0.01,0.01
"${ Servidor } : /api/config.json-1,389",2,222,217,227,227,227,217,227,0.000%,.01619,0.01,0.01
"${ Servidor } : /showcase-1,391",1,661,661,661,661,661,661,661,0.000%,1.51286,45.38,1.03
"${ Servidor } : /syncframe-1,400",1,429,429,429,429,429,429,429,0.000%,2.33100,13.03,1.23
"${ Servidor } : /tr/-1,399",2,128,30,226,226,226,30,226,0.000%,.01636,0.01,0.01
"${ Servidor } : /get.php-1,402",2,190,188,193,193,193,188,193,0.000%,.01636,0.01,0.01
"${ Servidor } : /collect-1,405",2,23,19,27,27,27,19,27,0.000%,.01630,0.01,0.02
"${ Servidor } : /dna-1,404",2,489,425,553,553,553,425,553,0.000%,.01625,0.01,0.01
"${ Servidor } : /tr/-1,403",2,24,22,26,26,26,22,26,0.000%,.01624,0.01,0.06
"${ Servidor } : /activeview/js/current/rx_lidar.js-1,409",1,330,330,330,330,330,330,330,0.000%,3.03030,147.31,1.29
"${ Servidor } : /newidsd-1,408",2,438,427,450,450,450,427,450,0.000%,.01623,0.01,0.01
"${ Servidor } : /g/collect?v=2&tid=G-BWE3Z3GKD7&gtm=2oe120&_p=1988082464&cid=527073485.1672956114&ul=pt-br&sr=1680x1050&uid=&sid=1672956121&sct=1&seg=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&dr=https%3A%2F%2Fwww.netshoes.com.br%2F&dt=&_s=1-1,415",2,80,74,86,86,86,74,86,0.000%,.01621,0.01,0.01
"${ Servidor } : /newidsd-1,407",2,433,431,435,435,435,431,435,0.000%,.01616,0.01,0.01
"${ Servidor } : /css-1,416",1,72,72,72,72,72,72,72,0.000%,13.88889,22.87,5.98
"${ Servidor } : /tr/-1,394",2,17,16,19,19,19,16,19,0.000%,.01616,0.01,0.01
"${ Servidor } : /dna-1,417",2,136,135,138,138,138,135,138,0.000%,.01615,0.01,0.01
"${ Servidor } : /produtos/tenis-nike-revolution-6-next-nature-masculino/26/2IC-4365-026/2IC-4365-026_detalhe1.jpg-1,419",1,25,25,25,25,25,25,25,0.000%,40.00000,291.48,20.59
