Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box/CheckActiveAccount-976,1,139,139,139,0.00,0.000%,7.19424,3.08,3.09,438.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jsdata?-986,1,26,26,26,0.00,0.000%,38.46154,17.99,73.66,479.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /action/0-984,1,137,137,137,0.00,0.000%,7.29927,5.82,5.45,816.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /p/action/4033370.js-985,1,148,148,148,0.00,0.000%,6.75676,4.97,2.60,753.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box/CheckActiveAccount-977,1,139,139,139,0.00,0.000%,7.19424,3.08,3.09,438.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /__utm.gif-987,1,23,23,23,0.00,0.000%,43.47826,25.56,43.44,602.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box/GetInitialData-981,1,141,141,141,0.00,0.000%,7.09220,14.00,4.95,2021.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/createSession-983,1,141,141,141,0.00,0.000%,7.09220,4.33,3.23,625.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /__utm.gif-988,1,15,15,15,0.00,0.000%,66.66667,39.19,66.47,602.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/acquireConsumer-982,1,139,139,139,0.00,0.000%,7.19424,4.45,3.30,633.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /-920,1,5853,5853,5853,0.00,100.000%,.17085,0.35,0.00,2095.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /114782.ct.js-989,1,38,38,38,0.00,100.000%,26.31579,39.29,0.00,1529.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /js/loadbee_integration.js-990,1,25,25,25,0.00,0.000%,40.00000,445.27,15.74,11399.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /gtag/js-991,1,177,177,177,0.00,0.000%,5.64972,427.91,2.36,77557.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v/t51.29350-15/313019350_1303795630437184_5463385535126360802_n.jpg-996,1,74,74,74,0.00,100.000%,13.51351,9.96,8.79,755.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v/t51.2885-15/312377648_197416906185651_1987953777437359524_n.jpg-995,1,17,17,17,0.00,100.000%,58.82353,43.37,38.14,755.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v/t51.29350-15/313088520_3189446624719205_3615256122351228154_n.jpg-993,1,16,16,16,0.00,100.000%,62.50000,46.08,45.23,755.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /oct.js-998,1,102,102,102,0.00,0.000%,9.80392,152.36,3.74,15914.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v/t51.2885-15/312938618_135049965970775_8172908251565877833_n.jpg-997,1,16,16,16,0.00,100.000%,62.50000,46.08,40.53,755.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v/t51.2885-15/313184957_671450081052796_7666525679040528435_n.jpg-992,1,27,27,27,0.00,100.000%,37.03704,27.31,24.02,755.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v/t51.2885-15/312995201_1280233299421863_4018718480888508486_n.jpg-994,1,27,27,27,0.00,100.000%,37.03704,27.31,24.05,755.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /nr-spa-1216.min.js-1,000",1,81,81,81,0.00,0.000%,12.34568,228.31,4.85,18937.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /p/action/4033370.js-999,1,146,146,146,0.00,0.000%,6.84932,5.04,2.64,753.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /oct.js-1,003",1,28,28,28,0.00,0.000%,35.71429,555.04,13.64,15914.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /action/0-1,001",1,137,137,137,0.00,0.000%,7.29927,5.82,5.44,816.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /j/collect?t=dc&aip=1&_r=3&v=1&_v=j98&tid=UA-1776034-5&cid=1390793279.1667239669&jid=1840873240&gjid=683201444&_gid=1792884466.1667239669&_u=AAECAAAASAAAgCAAI~&z=532846808-1,002",1,81,81,81,0.00,0.000%,12.34568,8.46,7.66,702.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /oct.js-1,010",1,25,25,25,0.00,0.000%,40.00000,621.64,15.27,15914.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/acquireConsumer-1,004",1,143,143,143,0.00,0.000%,6.99301,4.33,3.20,634.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box/GetInitialData-1,005",1,140,140,140,0.00,0.000%,7.14286,14.10,5.06,2021.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/createSession-1,006",1,139,139,139,0.00,0.000%,7.19424,4.38,3.28,623.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /box/GetInitialData-1,007",1,140,140,140,0.00,0.000%,7.14286,14.10,5.04,2021.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/acquireConsumer-1,008",1,140,140,140,0.00,0.000%,7.14286,4.42,3.27,634.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/createSession-1,009",1,142,142,142,0.00,0.000%,7.04225,4.28,3.21,623.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /1/32cd0417b6-1,011",1,192,192,192,0.00,0.000%,5.20833,3.18,4.77,625.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/pageView-1,012",1,141,141,141,0.00,100.000%,7.09220,16.52,4.85,2385.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/pageView-1,013",1,165,165,165,0.00,100.000%,6.06061,14.12,4.14,2385.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /track/pageView-1,014",1,155,155,155,0.00,100.000%,6.45161,15.03,4.41,2385.0
"Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=11550&ck=1&ref=https://www.netshoes.com.br/recommendations-1,015",1,192,192,192,0.00,0.000%,5.20833,2.07,6.24,407.0
