Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /j/collect?t=dc&aip=1&_r=3&v=1&_v=j98&tid=UA-1776034-5&cid=1390793279.1667239669&jid=1840873240&gjid=683201444&_gid=1792884466.1667239669&_u=AAECAAAASAAAgCAAI~&z=532846808-1,002",1,77,77,77,0.00,0.000%,12.98701,8.90,8.05,702.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /oct.js-1,010",1,28,28,28,0.00,0.000%,35.71429,555.04,13.64,15914.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/acquireConsumer-1,004",1,146,146,146,0.00,0.000%,6.84932,4.24,3.14,634.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box/GetInitialData-1,005",1,143,143,143,0.00,0.000%,6.99301,13.80,4.96,2021.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/createSession-1,006",1,142,142,142,0.00,0.000%,7.04225,4.30,3.21,625.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /box/GetInitialData-1,007",1,139,139,139,0.00,0.000%,7.19424,14.20,5.08,2021.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/acquireConsumer-1,008",1,141,141,141,0.00,0.000%,7.09220,4.38,3.25,633.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/createSession-1,009",1,143,143,143,0.00,0.000%,6.99301,4.28,3.19,626.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /1/32cd0417b6-1,011",1,209,209,209,0.00,0.000%,4.78469,2.90,4.38,620.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/pageView-1,012",1,146,146,146,0.00,100.000%,6.84932,15.95,4.68,2385.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/pageView-1,013",1,147,147,147,0.00,100.000%,6.80272,15.84,4.65,2385.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /track/pageView-1,014",1,140,140,140,0.00,100.000%,7.14286,16.64,4.88,2385.0
"Cenario de testes 2 - Usuario Buscador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=11550&ck=1&ref=https://www.netshoes.com.br/recommendations-1,015",1,183,183,183,0.00,0.000%,5.46448,2.17,6.54,407.0
